"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"KEGG","TNF signaling pathway","KEGG:04668","false","8.093789945423299e-26","25.0918480708522","106","2018","63","14629","ENSG00000003400,ENSG00000003402,ENSG00000006210,ENSG00000007908,ENSG00000023445,ENSG00000026103,ENSG00000034152,ENSG00000055208,ENSG00000056558,ENSG00000069399,ENSG00000073756,ENSG00000078401,ENSG00000081041,ENSG00000083799,ENSG00000087470,ENSG00000090339,ENSG00000100906,ENSG00000101384,ENSG00000107968,ENSG00000108691,ENSG00000109320,ENSG00000110330,ENSG00000115009,ENSG00000115604,ENSG00000115966,ENSG00000117020,ENSG00000117461,ENSG00000118503,ENSG00000121879,ENSG00000124875,ENSG00000125347,ENSG00000125538,ENSG00000127191,ENSG00000128272,ENSG00000128342,ENSG00000131323,ENSG00000136244,ENSG00000137275,ENSG00000146592,ENSG00000150630,ENSG00000157625,ENSG00000162692,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164136,ENSG00000164305,ENSG00000164400,ENSG00000165806,ENSG00000167207,ENSG00000169245,ENSG00000170345,ENSG00000171223,ENSG00000171608,ENSG00000171855,ENSG00000172216,ENSG00000173039,ENSG00000177606,ENSG00000184371,ENSG00000184557,ENSG00000197442,ENSG00000213341,ENSG00000271503"
"KEGG","NOD-like receptor signaling pathway","KEGG:04621","false","1.4942363040397745e-20","19.8255807161583","142","2018","68","14629","ENSG00000023445,ENSG00000034713,ENSG00000055208,ENSG00000065243,ENSG00000067560,ENSG00000080824,ENSG00000081041,ENSG00000087470,ENSG00000089127,ENSG00000096384,ENSG00000100906,ENSG00000103313,ENSG00000104312,ENSG00000104518,ENSG00000104825,ENSG00000105835,ENSG00000108691,ENSG00000108953,ENSG00000109320,ENSG00000110218,ENSG00000110330,ENSG00000111331,ENSG00000111335,ENSG00000112851,ENSG00000115415,ENSG00000117226,ENSG00000117228,ENSG00000118503,ENSG00000125538,ENSG00000125826,ENSG00000127191,ENSG00000127666,ENSG00000131323,ENSG00000136244,ENSG00000136560,ENSG00000136810,ENSG00000137275,ENSG00000137752,ENSG00000142166,ENSG00000150782,ENSG00000151414,ENSG00000154451,ENSG00000157625,ENSG00000159110,ENSG00000162434,ENSG00000162645,ENSG00000162654,ENSG00000162711,ENSG00000163297,ENSG00000163565,ENSG00000163734,ENSG00000163739,ENSG00000163932,ENSG00000164733,ENSG00000167207,ENSG00000169429,ENSG00000170581,ENSG00000171855,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000183735,ENSG00000185507,ENSG00000196954,ENSG00000213341,ENSG00000213585,ENSG00000263528,ENSG00000271503"
"KEGG","Influenza A","KEGG:05164","false","1.7218091113410628e-20","19.764014998344926","125","2018","63","14629","ENSG00000015475,ENSG00000026103,ENSG00000027697,ENSG00000055332,ENSG00000089127,ENSG00000090339,ENSG00000096968,ENSG00000100906,ENSG00000101888,ENSG00000104689,ENSG00000104825,ENSG00000105810,ENSG00000107201,ENSG00000108691,ENSG00000109320,ENSG00000110713,ENSG00000111331,ENSG00000111335,ENSG00000115008,ENSG00000115267,ENSG00000115415,ENSG00000117020,ENSG00000117461,ENSG00000120889,ENSG00000121060,ENSG00000121858,ENSG00000121879,ENSG00000125538,ENSG00000127666,ENSG00000131323,ENSG00000132661,ENSG00000134001,ENSG00000134321,ENSG00000136244,ENSG00000136436,ENSG00000137752,ENSG00000140464,ENSG00000142166,ENSG00000150782,ENSG00000157601,ENSG00000159110,ENSG00000159128,ENSG00000160710,ENSG00000162434,ENSG00000162711,ENSG00000164305,ENSG00000168811,ENSG00000169245,ENSG00000169429,ENSG00000170581,ENSG00000171608,ENSG00000171855,ENSG00000172115,ENSG00000172936,ENSG00000173039,ENSG00000183486,ENSG00000183735,ENSG00000184557,ENSG00000185507,ENSG00000213341,ENSG00000213585,ENSG00000263528,ENSG00000271503"
"KEGG","Lipid and atherosclerosis","KEGG:05417","false","4.5100154175691496e-20","19.345821973475974","166","2018","74","14629","ENSG00000007908,ENSG00000015475,ENSG00000026103,ENSG00000028277,ENSG00000034152,ENSG00000055208,ENSG00000067560,ENSG00000080824,ENSG00000081041,ENSG00000082701,ENSG00000090339,ENSG00000096384,ENSG00000096968,ENSG00000100219,ENSG00000100906,ENSG00000101017,ENSG00000101096,ENSG00000104689,ENSG00000108691,ENSG00000109320,ENSG00000116044,ENSG00000117020,ENSG00000117461,ENSG00000118217,ENSG00000120889,ENSG00000120910,ENSG00000121858,ENSG00000121879,ENSG00000125538,ENSG00000127191,ENSG00000127314,ENSG00000127666,ENSG00000128272,ENSG00000130164,ENSG00000131196,ENSG00000131323,ENSG00000134001,ENSG00000136244,ENSG00000136560,ENSG00000137462,ENSG00000137752,ENSG00000141510,ENSG00000144381,ENSG00000150782,ENSG00000162692,ENSG00000162711,ENSG00000163734,ENSG00000163739,ENSG00000164305,ENSG00000165029,ENSG00000165806,ENSG00000166598,ENSG00000168610,ENSG00000168811,ENSG00000169429,ENSG00000170345,ENSG00000170606,ENSG00000171608,ENSG00000171855,ENSG00000172115,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000178607,ENSG00000183735,ENSG00000185507,ENSG00000197122,ENSG00000197442,ENSG00000213281,ENSG00000213341,ENSG00000254087,ENSG00000263528,ENSG00000271503,ENSG00000291237"
"KEGG","Hepatitis C","KEGG:05160","false","3.231714601467646e-18","17.490566999531293","128","2018","61","14629","ENSG00000003402,ENSG00000013297,ENSG00000015475,ENSG00000026103,ENSG00000055332,ENSG00000082701,ENSG00000089127,ENSG00000100906,ENSG00000104408,ENSG00000104695,ENSG00000105810,ENSG00000107201,ENSG00000108953,ENSG00000109320,ENSG00000111331,ENSG00000111335,ENSG00000112242,ENSG00000113575,ENSG00000115415,ENSG00000117020,ENSG00000117461,ENSG00000121879,ENSG00000124762,ENSG00000127191,ENSG00000127666,ENSG00000128829,ENSG00000130164,ENSG00000131323,ENSG00000134001,ENSG00000134321,ENSG00000136997,ENSG00000137275,ENSG00000137713,ENSG00000139687,ENSG00000141510,ENSG00000142166,ENSG00000146648,ENSG00000157224,ENSG00000157601,ENSG00000159110,ENSG00000159261,ENSG00000162434,ENSG00000163347,ENSG00000164305,ENSG00000164924,ENSG00000168610,ENSG00000169245,ENSG00000170027,ENSG00000170581,ENSG00000171608,ENSG00000171855,ENSG00000172115,ENSG00000173039,ENSG00000183486,ENSG00000183735,ENSG00000184557,ENSG00000185507,ENSG00000185745,ENSG00000213281,ENSG00000213341,ENSG00000263528"
"KEGG","Epstein-Barr virus infection","KEGG:05169","false","5.259339959376015e-18","17.27906875584385","162","2018","70","14629","ENSG00000015475,ENSG00000020633,ENSG00000026103,ENSG00000026508,ENSG00000034152,ENSG00000055208,ENSG00000055332,ENSG00000069869,ENSG00000077150,ENSG00000089127,ENSG00000090339,ENSG00000100603,ENSG00000100906,ENSG00000101017,ENSG00000104825,ENSG00000104856,ENSG00000105639,ENSG00000105810,ENSG00000107201,ENSG00000109320,ENSG00000111331,ENSG00000111335,ENSG00000112242,ENSG00000115415,ENSG00000116717,ENSG00000117020,ENSG00000117461,ENSG00000118503,ENSG00000121879,ENSG00000122008,ENSG00000124762,ENSG00000127191,ENSG00000131323,ENSG00000135679,ENSG00000136244,ENSG00000136997,ENSG00000137275,ENSG00000137462,ENSG00000139687,ENSG00000141510,ENSG00000142166,ENSG00000146232,ENSG00000159110,ENSG00000162434,ENSG00000163636,ENSG00000164305,ENSG00000166710,ENSG00000168394,ENSG00000168610,ENSG00000169245,ENSG00000170581,ENSG00000171608,ENSG00000171855,ENSG00000172115,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000183735,ENSG00000185507,ENSG00000187608,ENSG00000196591,ENSG00000197170,ENSG00000204267,ENSG00000204525,ENSG00000204642,ENSG00000213341,ENSG00000231925,ENSG00000234745,ENSG00000254087,ENSG00000263528"
"KEGG","Kaposi sarcoma-associated herpesvirus infection","KEGG:05167","false","1.1405613832775663e-16","15.942881336690395","158","2018","67","14629","ENSG00000015475,ENSG00000026103,ENSG00000027697,ENSG00000055332,ENSG00000073756,ENSG00000081041,ENSG00000082701,ENSG00000090339,ENSG00000096968,ENSG00000100311,ENSG00000100644,ENSG00000100906,ENSG00000101096,ENSG00000105810,ENSG00000109320,ENSG00000112242,ENSG00000115415,ENSG00000117020,ENSG00000117461,ENSG00000120910,ENSG00000121879,ENSG00000124762,ENSG00000125730,ENSG00000127191,ENSG00000127666,ENSG00000128016,ENSG00000131196,ENSG00000131323,ENSG00000134352,ENSG00000136244,ENSG00000136997,ENSG00000138685,ENSG00000139687,ENSG00000141510,ENSG00000142166,ENSG00000143947,ENSG00000150991,ENSG00000159110,ENSG00000159200,ENSG00000162434,ENSG00000163734,ENSG00000163739,ENSG00000164305,ENSG00000164400,ENSG00000168610,ENSG00000169429,ENSG00000170345,ENSG00000170581,ENSG00000171608,ENSG00000171855,ENSG00000172115,ENSG00000173039,ENSG00000174021,ENSG00000177606,ENSG00000183735,ENSG00000185507,ENSG00000186469,ENSG00000197122,ENSG00000204516,ENSG00000204525,ENSG00000204642,ENSG00000213281,ENSG00000213341,ENSG00000234745,ENSG00000242616,ENSG00000254087,ENSG00000263528"
"KEGG","Measles","KEGG:05162","false","1.9188387339285167e-16","15.7169615233927","108","2018","53","14629","ENSG00000015475,ENSG00000026103,ENSG00000055208,ENSG00000055332,ENSG00000082701,ENSG00000089127,ENSG00000100906,ENSG00000104825,ENSG00000105327,ENSG00000105639,ENSG00000105810,ENSG00000107201,ENSG00000109320,ENSG00000111331,ENSG00000111335,ENSG00000115008,ENSG00000115267,ENSG00000115415,ENSG00000117020,ENSG00000117461,ENSG00000118503,ENSG00000121879,ENSG00000123595,ENSG00000125538,ENSG00000126561,ENSG00000128829,ENSG00000131323,ENSG00000134001,ENSG00000136244,ENSG00000137462,ENSG00000141510,ENSG00000142166,ENSG00000147065,ENSG00000157601,ENSG00000159110,ENSG00000160710,ENSG00000162434,ENSG00000164305,ENSG00000168610,ENSG00000168811,ENSG00000170345,ENSG00000170581,ENSG00000171608,ENSG00000171855,ENSG00000172115,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000183486,ENSG00000183735,ENSG00000185507,ENSG00000213341,ENSG00000263528"
"KEGG","Cytokine-cytokine receptor interaction","KEGG:04060","false","2.2435243396978807e-15","14.64906921450214","150","2018","63","14629","ENSG00000006210,ENSG00000008517,ENSG00000026103,ENSG00000027697,ENSG00000049249,ENSG00000077238,ENSG00000081041,ENSG00000092969,ENSG00000101017,ENSG00000102524,ENSG00000104432,ENSG00000104689,ENSG00000105246,ENSG00000108342,ENSG00000108688,ENSG00000108691,ENSG00000115008,ENSG00000115009,ENSG00000115594,ENSG00000115602,ENSG00000115604,ENSG00000120337,ENSG00000120889,ENSG00000121858,ENSG00000122641,ENSG00000124875,ENSG00000125538,ENSG00000125657,ENSG00000125726,ENSG00000125845,ENSG00000128342,ENSG00000130513,ENSG00000131724,ENSG00000134352,ENSG00000134470,ENSG00000136244,ENSG00000142166,ENSG00000145623,ENSG00000145777,ENSG00000146072,ENSG00000150782,ENSG00000159110,ENSG00000159128,ENSG00000161921,ENSG00000163513,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164136,ENSG00000164400,ENSG00000168685,ENSG00000168811,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000171855,ENSG00000181634,ENSG00000184371,ENSG00000186891,ENSG00000196083,ENSG00000227507,ENSG00000243509,ENSG00000271503"
"KEGG","Coronavirus disease - COVID-19","KEGG:05171","false","6.9235234949800334e-15","14.159672829679074","189","2018","72","14629","ENSG00000055208,ENSG00000055332,ENSG00000089009,ENSG00000089127,ENSG00000100906,ENSG00000104825,ENSG00000107201,ENSG00000108342,ENSG00000108691,ENSG00000109320,ENSG00000110700,ENSG00000111331,ENSG00000111335,ENSG00000113070,ENSG00000115267,ENSG00000115415,ENSG00000117461,ENSG00000121879,ENSG00000122026,ENSG00000122406,ENSG00000125538,ENSG00000125691,ENSG00000125730,ENSG00000130368,ENSG00000131323,ENSG00000134352,ENSG00000136244,ENSG00000137154,ENSG00000137462,ENSG00000137752,ENSG00000137876,ENSG00000138326,ENSG00000142166,ENSG00000142937,ENSG00000143947,ENSG00000144891,ENSG00000145425,ENSG00000146648,ENSG00000151694,ENSG00000157601,ENSG00000159110,ENSG00000159403,ENSG00000160710,ENSG00000162434,ENSG00000162711,ENSG00000163682,ENSG00000164400,ENSG00000164430,ENSG00000168610,ENSG00000168811,ENSG00000169245,ENSG00000169429,ENSG00000170345,ENSG00000170581,ENSG00000171608,ENSG00000171855,ENSG00000171860,ENSG00000171863,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000182326,ENSG00000183486,ENSG00000183735,ENSG00000187608,ENSG00000188846,ENSG00000213341,ENSG00000213741,ENSG00000215472,ENSG00000243649,ENSG00000244731,ENSG00000263528"
"KEGG","Pathways in cancer","KEGG:05200","false","4.279339233743383e-14","13.368623284559963","425","2018","122","14629","ENSG00000015475,ENSG00000023445,ENSG00000026103,ENSG00000027697,ENSG00000053747,ENSG00000055130,ENSG00000056558,ENSG00000058085,ENSG00000065135,ENSG00000067560,ENSG00000067900,ENSG00000073756,ENSG00000077150,ENSG00000077238,ENSG00000078401,ENSG00000080824,ENSG00000082701,ENSG00000092969,ENSG00000096384,ENSG00000096968,ENSG00000097007,ENSG00000100311,ENSG00000100644,ENSG00000100906,ENSG00000101384,ENSG00000104432,ENSG00000105327,ENSG00000105639,ENSG00000105810,ENSG00000109320,ENSG00000110330,ENSG00000112242,ENSG00000114251,ENSG00000115415,ENSG00000116016,ENSG00000116044,ENSG00000116717,ENSG00000116809,ENSG00000117020,ENSG00000117425,ENSG00000117461,ENSG00000120063,ENSG00000121879,ENSG00000122008,ENSG00000123975,ENSG00000124762,ENSG00000125845,ENSG00000126561,ENSG00000127191,ENSG00000127955,ENSG00000131323,ENSG00000131724,ENSG00000134086,ENSG00000134352,ENSG00000134470,ENSG00000134954,ENSG00000135679,ENSG00000135766,ENSG00000136244,ENSG00000136997,ENSG00000137193,ENSG00000138378,ENSG00000138448,ENSG00000138675,ENSG00000138685,ENSG00000139679,ENSG00000139687,ENSG00000140464,ENSG00000141510,ENSG00000141682,ENSG00000142166,ENSG00000143924,ENSG00000144118,ENSG00000144891,ENSG00000146535,ENSG00000146648,ENSG00000147883,ENSG00000150093,ENSG00000150630,ENSG00000154582,ENSG00000159110,ENSG00000159128,ENSG00000159216,ENSG00000162434,ENSG00000163251,ENSG00000163513,ENSG00000164136,ENSG00000164171,ENSG00000164305,ENSG00000164930,ENSG00000165806,ENSG00000166598,ENSG00000166888,ENSG00000166949,ENSG00000167034,ENSG00000168398,ENSG00000168610,ENSG00000168685,ENSG00000168811,ENSG00000169429,ENSG00000170345,ENSG00000170581,ENSG00000171522,ENSG00000171608,ENSG00000172115,ENSG00000173039,ENSG00000174021,ENSG00000174804,ENSG00000175387,ENSG00000177283,ENSG00000177606,ENSG00000186469,ENSG00000186716,ENSG00000187498,ENSG00000196569,ENSG00000196591,ENSG00000196878,ENSG00000198121,ENSG00000213281,ENSG00000213341,ENSG00000242616,ENSG00000266412"
"KEGG","IL-17 signaling pathway","KEGG:04657","false","5.290590991868004e-14","13.276495811864422","68","2018","38","14629","ENSG00000055208,ENSG00000056972,ENSG00000069956,ENSG00000073756,ENSG00000080824,ENSG00000081041,ENSG00000082701,ENSG00000096384,ENSG00000100906,ENSG00000108342,ENSG00000108688,ENSG00000108691,ENSG00000109320,ENSG00000115009,ENSG00000118503,ENSG00000124875,ENSG00000125538,ENSG00000125740,ENSG00000127191,ENSG00000131323,ENSG00000136244,ENSG00000157625,ENSG00000163734,ENSG00000163735,ENSG00000163739,ENSG00000164305,ENSG00000164400,ENSG00000166598,ENSG00000169245,ENSG00000169429,ENSG00000170345,ENSG00000172216,ENSG00000173039,ENSG00000175592,ENSG00000177606,ENSG00000183735,ENSG00000213341,ENSG00000263528"
"KEGG","Hepatitis B","KEGG:05161","false","5.97271642931654e-13","12.223828104055293","141","2018","57","14629","ENSG00000003400,ENSG00000015475,ENSG00000026103,ENSG00000034152,ENSG00000055208,ENSG00000092969,ENSG00000095015,ENSG00000096968,ENSG00000100906,ENSG00000101096,ENSG00000105639,ENSG00000107201,ENSG00000109320,ENSG00000112242,ENSG00000115267,ENSG00000115415,ENSG00000115966,ENSG00000117020,ENSG00000117461,ENSG00000121879,ENSG00000124762,ENSG00000126561,ENSG00000127666,ENSG00000128272,ENSG00000131196,ENSG00000131323,ENSG00000136244,ENSG00000136997,ENSG00000137462,ENSG00000138378,ENSG00000139687,ENSG00000141510,ENSG00000142166,ENSG00000146592,ENSG00000162434,ENSG00000163513,ENSG00000164305,ENSG00000164924,ENSG00000166888,ENSG00000166949,ENSG00000168610,ENSG00000169429,ENSG00000170345,ENSG00000170581,ENSG00000171608,ENSG00000171855,ENSG00000172115,ENSG00000172936,ENSG00000173039,ENSG00000177606,ENSG00000183735,ENSG00000185507,ENSG00000197122,ENSG00000213281,ENSG00000213341,ENSG00000215301,ENSG00000263528"
